reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-M32/81-8100108/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100109/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-7700142/2025,43,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7700142/2024,81,,,,,,,
YS-M32/81-8100110/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100111/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100112/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100113/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100114/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100115/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100116/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
